token.id	token
41	"b'[\'if\', \'you\', \'look\', \'at\', \'the\', \'figures\', \',\', \'the\', \'shortfall\', \'in\', \'contract\', \'support\', \'costs\', \',\', \'for\', \'example\', \',\', \'in\', \'1997\', \'cumulatively\', \'was\', \'$\', \'82\', \'million\', \',\', \'and\', \'that\', "\'s", \'--\', \'that\', \'is\', \'more\', \'than\', \'the\', \'amount\', \'of\', \'the\', \'appropriation\', \'increase\', \'from\', \'fy\', \'1996\', \'to\', \'fy\', \'1997\', \'.\']'"
42	"b"['but', 'his', 'budget', 'that', 'he', 'actually', 'worked', 'out', 'with', 'the', '98', 'percent', 'was', 'not', 'mandated', 'by', 'the', 'statute', ',', 'as', 'i', 'understand', '.']""
43	"b'[\'and\', \'we\', "\'ve", \'decided\', \'there\', \'is\', "n\'t", \'enough\', \'money\', \'to\', \'deal\', \'with\', \'all\', \'of\', \'the\', \'health\', \'care\', \'needs\', \'in\', \'the\', \'country\', \',\', \'so\', \'we\', "\'re", \'going\', \'to\', \'deal\', \'with\', \'the\', \'ones\', \'we\', \'operate\', \'and\', \'you\', \'come\', \'last\', \'.\']'"
44	"b"['the', 'federal', 'functions', 'is', 'the', 'broader', 'set', 'of', '--', 'it', 'could', 'essentially', 'encompass', 'everything', 'the', 'federal', 'government', 'does', '.']""
45	"b"['any', 'of', 'the', 'increases', ',', 'any', 'of', 'the', 'sums', '.']""
46	"b'[\'there\', "\'s", \'a\', \'reason\', \'for\', \'that\', \'.\']'"
47	"b'[\'i\', \'thought\', \'--\', \'i\', \'thought\', \'that\', \'cannon\', \'--\', \'we\', "\'ve", \'--\', \'we\', "\'ve", \'allowed\', \'cannon\', \'to\', \'stay\', \'on\', \'the\', \'books\', \',\', \'but\', \'i\', \'thought\', \'we\', \'have\', \'sworn\', \'off\', \'the\', \'kind\', \'of\', \'creation\', \'of\', \'--\', \'of\', \'implied\', \'remedies\', \'that\', \'cannon\', \'exemplifies\', \'.\']'"
48	"b"['they', 'just', 'thought', 'that', 'legal', 'availability', 'would', 'be', 'sufficient', '.']""
49	"b"['so', 'they', 'get', 'the', 'hospital', ',', '$', '5', 'million', 'to', 'run', 'it', '.']""
50	"b"['i', 'want', 'you', 'to', 'tell', 'me', 'why', 'those', 'sums', '--', 'i', 'get', 'the', 'time', '.']""
